,title,author,summary,category,word_count,age_cat,num_views,num_fav,publication_date,tags,url,download_link
0,My Personal Hell,D. Richardson,"    For seventeen year old Ailith, grief and pain are the only constants in her life, other than the two girls she’s sworn to protect.
    After being sold into slavery by the people who were supposed to love her, she works and suffers through the torture. In the hope that she and her new family will someday taste freedom rather than dirt.
    Like a light at the end of a tunnel, a chance encounter leads to her freedom. However, expectations pile up and she tries to measure up to them. Is she strong enough to face her fears, her demons and hope to have a place to call home again?
    Even more dangerous, should she allow herself to love and be loved?",Fantasy,168571 Words,Ages 12 and up,48035,422,10-09-2013,"{'cruelty', 'love', 'werewolves', 'torture', 'hatred', 'slavery'}",https://www.bookrix.com/_ebook-d-richardson-my-personal-hell/,
1,Marked House of Night,Kristin Cast,A girl is a vampire and goes to school. At a vampire school,Fantasy,1635 Words,Ages 0 and up,25090,413,12-06-2011,,https://www.bookrix.com/_ebook-kristin-cast-marked-house-of-night/,https://www.bookrix.com/Books/Download.html?bookID=maemae99_1323212286.4649710655&format=epub
2,Pack Gems,"Kuro Kusai, WhiteWolf Aura","Taylor and Kaden fight fang and claw to keep their freedom--Not an easy task when you and your best friend are rogue female Werewolves coveted by any pack that catches their unclaimed scent.
Their freedom streak may come to an end soon when they unknowingly walk into the heart of two Pack's rivalry battle.
Pack law states they have to submit...who says they'll go down easy?

*Currently Updating all the chapters*",Fantasy,79586 Words,Ages 12 and up,24830,647,04-02-2011,"{'Pack', 'Shapeshifter,... Show more', 'Fantasy', 'Werewolves', 'Science Fiction', 'Werewolf', 'Wolf'}",https://www.bookrix.com/_ebook-kuro-kusai-pack-gems/,https://www.bookrix.com/Books/Download.html?bookID=kurokusai_1301787598.3962459564&format=epub
3,SPELLS OF MAGIC,Forest Ostrander,These spells are actual spells. I would highly suggest to not do them unless you know what you are doing and are not using them for means of evil or black magic. PROCEED WITH UPMOST CAUTION IF YOU DO DECIDE TO TRY THESE SPELLS OUT!,Fantasy,7957 Words,Ages 0 and up,19129,95,03-04-2012,,https://www.bookrix.com/_ebook-forest-ostrander-spells-of-magic/,https://www.bookrix.com/Books/Download.html?bookID=kagomestar23_1330833042.4982368946&format=epub
4,Marked (book 1),Kristin Cast,"The House of Night series is set in a world very much like our own, except in 16-year-old Zoey Redbird's world, vampyres have always existed. In this first book in the series, Zoey enters the House of Night, a school where, after having undergone the Change, she will train to become an adult vampire--that is, if she makes it through the Change. Not all of those who are chosen do. It's tough to begin a new life, away from her parents and friends, and on top of that, Zoey finds she is no average fledgling. She has been Marked as special by the vampyre Goddess, Nyx. But she is not the only fledgling at the House of Night with special powers. When she discovers that the leader of the Dark Daughters, the school's most elite club, is misusing her Goddess-given gifts, Zoey must look deep within herself for the courage to embrace her destiny--with a little help from her new vampyre friends.",Fantasy,82309 Words,Ages 6 and up,17210,52,10-28-2014,{'fantasy'},https://www.bookrix.com/_ebook-kristin-cast-marked-book-1/,https://www.bookrix.com/Books/Download.html?bookID=la5562d2eab6345_1414528532.5503289700&format=epub
5,Alpha Mates,Leomi Peia,"My name is Natalia Knight, Nati for short. I'm diffrent from your average pretty teenage girl. I'm a werewolf, but not just any plain werewolf but tha alpha female. I live with my younger sister Melody, and my parents. There's a new kid at school, he's my mate, he's an Alpha too, but I won't let him steal my heart. Will I?",Fantasy,2864 Words,Ages 0 and up,12825,318,12-29-2011,"{'love', 'alphas', 'denial', 'school', 'new kid', 'vamps', 'mates', 'werewolves'}",https://www.bookrix.com/_ebook-leomi-peia-alpha-mates/,https://www.bookrix.com/Books/Download.html?bookID=lay.layome_1325194944.9743831158&format=epub
6,Vampire love story,Miss Riddle,"Aren't you tired about always reading the same old Vampire story?
Well this one is completely different! You'll be suprised. It sure isn't what you expected...",Fantasy,5994 Words,Ages 0 and up,12621,321,07-12-2010,"{'different', 'Vampire', 'love'}",https://www.bookrix.com/_ebook-miss-riddle-vampire-love-story-1/,https://www.bookrix.com/Books/Download.html?bookID=missriddle_1278919873.3765170574&format=epub
7,Dreams of Shadows,Patrick Sean Lee,"Christmastime, 2017.

With a sudden, nuclear-like flash of light, the population of the planet is decimated. Every living human, save one Amelia McDougal--a 15 year old girl living in Marysville, California--has perished. Or so the young girl thinks until she meets Munster Gardella, a devil-may-care boy her age.
  Their days are filled with scavenging, wandering through the small neighborhood they once called home, and wondering what happened that caused the calamity. They get their first clue when a strange, ominous, vapor-like being emerges from the shadows near a now-deceased friend's home, and then pursues them.
  Taking refuge inside a church rectory, Amelia and Munster discover two other survivors—a black brother and sister hiding inside a closet. And then two grisly-looking adults bent on doing them harm. Munster rescues the three young would-be victims, and fearing more of the same in the city, they strike out in search of safety elsewhere.
  The four kids stumble upon a huge house set back in an orchard, miles south of the city limits, and there Munster sees a flash of light from a window. Friend or foe? Munster decides to investigate, and that is when the nature and meaning of what happened to the planet begins to unfold in the terrifying, yet oddly promising days and events that follow.
  Note: It is March 1, 2017. The final draft is complete.",Fantasy,66371 Words,Ages 0 and up,12166,93,12-26-2013,"{'alien invasion,... Show more', 'future', 'action-adventure', 'Teen Survival', 'Post-Apocalyptic'}",https://www.bookrix.com/_ebook-patrick-sean-lee-dreams-of-shadows/,
8,Forbidden Love,D M Broadfield,"PLEASE NOTE , NOT COMPLETED WORKS, WILL UPDATE CHAPTERS WHEN I CAN
Port Townsend is the new safe haven for Immortals and were beasts , Carrie-Ann (immortal vampire) moves with her family to Port Townsend ,where she meets Yas (werewolf).....",Fantasy,28332 Words,Ages 0 and up,10573,897,03-25-2010,"{'vampire', 'love', 'death', 'romance', 'were beasts'}",https://www.bookrix.com/_ebook-d-m-broadfield-forbidden-love/,https://www.bookrix.com/Books/Download.html?bookID=annodb_1269535650.6150770187&format=epub
9,Those Who Cannot Die,Levi Bible,"Book 1 of ""Those Who Cannot Die"", this book follows the adventures of the Immortal group's second in command, Isaac, as he discovers the weakness of mortals firsthand...",Fantasy,20046 Words,Ages 0 and up,10502,288,01-11-2010,"{'Immortals', 'Dark Fiction', 'Fantasy', 'Death'}",https://www.bookrix.com/_ebook-levi-bible-those-who-cannot-die/,https://www.bookrix.com/Books/Download.html?bookID=terrorofdeathdgx_1263256398.6364040375&format=epub
